nohup: 忽略输入
2d+10 shared data already exists: /home/kkkk24/桌面/attention-GP/py project/2d+10/generated_data/shared_data.xlsx
2d+10: run 1680 pending tasks with 12 workers
R callback write-console: 此外:   
R callback write-console: 警告信息:
  
R callback write-console: 程序包‘tgp’是用R版本4.4.3 来建造的 
  
R callback write-console: 此外:   
R callback write-console: 警告信息:
  
R callback write-console: 程序包‘tgp’是用R版本4.4.3 来建造的 
  
R callback write-console: 此外:   
R callback write-console: 警告信息:
  
R callback write-console: 程序包‘tgp’是用R版本4.4.3 来建造的 
  
R callback write-console: 此外:   
R callback write-console: 警告信息:
  
R callback write-console: 程序包‘tgp’是用R版本4.4.3 来建造的 
  
R callback write-console: 此外:   
R callback write-console: 警告信息:
  
R callback write-console: 程序包‘tgp’是用R版本4.4.3 来建造的 
  
R callback write-console: 此外:   
R callback write-console: 警告信息:
  
R callback write-console: 程序包‘tgp’是用R版本4.4.3 来建造的 
  
R callback write-console: 此外:   
R callback write-console: 警告信息:
  
R callback write-console: 程序包‘tgp’是用R版本4.4.3 来建造的 
  
R callback write-console: 此外:   
R callback write-console: 警告信息:
  
R callback write-console: 程序包‘tgp’是用R版本4.4.3 来建造的 
  
R callback write-console: 此外:   
R callback write-console: 警告信息:
  
R callback write-console: 程序包‘tgp’是用R版本4.4.3 来建造的 
  
R callback write-console: 此外:   
R callback write-console: 警告信息:
  
R callback write-console: 程序包‘tgp’是用R版本4.4.3 来建造的 
  
R callback write-console: 此外:   
R callback write-console: 警告信息:
  
R callback write-console: 程序包‘tgp’是用R版本4.4.3 来建造的 
  
R callback write-console: 此外:   
R callback write-console: 警告信息:
  
R callback write-console: 程序包‘tgp’是用R版本4.4.3 来建造的 
  
Saved 2d+10: method=D_opt, n_initial=30, repeat=1/30, RMSE_all=0.1155, RMSE_target=0.1033
Saved 2d+10: method=K_means, n_initial=30, repeat=1/30, RMSE_all=0.0739, RMSE_target=0.0457
Saved 2d+10: method=LHS, n_initial=30, repeat=1/30, RMSE_all=0.0945, RMSE_target=0.1026
Saved 2d+10: method=LHS, n_initial=30, repeat=2/30, RMSE_all=0.1636, RMSE_target=0.0937
Saved 2d+10: method=D_opt, n_initial=30, repeat=2/30, RMSE_all=0.1111, RMSE_target=0.0686
Saved 2d+10: method=K_means, n_initial=30, repeat=2/30, RMSE_all=0.1165, RMSE_target=0.0685
Saved 2d+10: method=LHS, n_initial=30, repeat=3/30, RMSE_all=0.0958, RMSE_target=0.0531
Saved 2d+10: method=UCB, n_initial=30, repeat=1/30, RMSE_all=0.1652, RMSE_target=0.0548
Saved 2d+10: method=UCB, n_initial=30, repeat=2/30, RMSE_all=0.1715, RMSE_target=0.0454
Saved 2d+10: method=EI, n_initial=30, repeat=2/30, RMSE_all=0.1774, RMSE_target=0.0554
Saved 2d+10: method=PM, n_initial=30, repeat=3/30, RMSE_all=0.1394, RMSE_target=0.0430
Saved 2d+10: method=D_opt, n_initial=30, repeat=3/30, RMSE_all=0.0895, RMSE_target=0.0559
Saved 2d+10: method=K_means, n_initial=30, repeat=3/30, RMSE_all=0.1154, RMSE_target=0.0516
Saved 2d+10: method=PM, n_initial=30, repeat=1/30, RMSE_all=0.1839, RMSE_target=0.0400
Saved 2d+10: method=EI, n_initial=30, repeat=1/30, RMSE_all=0.2941, RMSE_target=0.0551
Saved 2d+10: method=G_opt, n_initial=30, repeat=3/30, RMSE_all=0.0680, RMSE_target=0.0557
Saved 2d+10: method=IMSE, n_initial=30, repeat=1/30, RMSE_all=0.0892, RMSE_target=0.1002
Saved 2d+10: method=LHS, n_initial=30, repeat=4/30, RMSE_all=0.1619, RMSE_target=0.1697
Saved 2d+10: method=D_opt, n_initial=30, repeat=4/30, RMSE_all=0.1409, RMSE_target=0.1739
Saved 2d+10: method=G_opt, n_initial=30, repeat=1/30, RMSE_all=0.1166, RMSE_target=0.1371
Saved 2d+10: method=PM, n_initial=30, repeat=2/30, RMSE_all=0.2093, RMSE_target=0.0421
Saved 2d+10: method=G_opt, n_initial=30, repeat=2/30, RMSE_all=0.0977, RMSE_target=0.1275
