nohup: 忽略输入
battery shared data already exists: /home/kkkk24/桌面/attention-GP/py project/battery/generated_data/shared_data.xlsx
battery: run 240 pending tasks with 4 workers
R callback write-console: 此外:   
R callback write-console: 警告信息:
  
R callback write-console: 程序包‘tgp’是用R版本4.4.3 来建造的 
  
R callback write-console: 此外:   
R callback write-console: 警告信息:
  
R callback write-console: 程序包‘tgp’是用R版本4.4.3 来建造的 
  
R callback write-console: 此外:   
R callback write-console: 警告信息:
  
R callback write-console: 程序包‘tgp’是用R版本4.4.3 来建造的 
  
R callback write-console: 此外:   
R callback write-console: 警告信息:
  
R callback write-console: 程序包‘tgp’是用R版本4.4.3 来建造的 
  
Saved battery: method=LHS, n_initial=180, repeat=1/30, RMSE_all=15.4550, RMSE_target=7.5573, MAE_all=10.3194
Saved battery: method=K_means, n_initial=180, repeat=1/30, RMSE_all=13.7702, RMSE_target=7.4262, MAE_all=9.6524
Saved battery: method=D_opt, n_initial=180, repeat=1/30, RMSE_all=13.6676, RMSE_target=7.4065, MAE_all=10.1759
Saved battery: method=EI, n_initial=180, repeat=1/30, RMSE_all=13.8527, RMSE_target=4.9143, MAE_all=9.6335
Saved battery: method=PM, n_initial=180, repeat=1/30, RMSE_all=16.9140, RMSE_target=4.8082, MAE_all=10.5361
Saved battery: method=UCB, n_initial=180, repeat=1/30, RMSE_all=13.0488, RMSE_target=5.7591, MAE_all=9.4060
Saved battery: method=G_opt, n_initial=180, repeat=1/30, RMSE_all=13.1240, RMSE_target=5.9924, MAE_all=9.8043
Saved battery: method=LHS, n_initial=180, repeat=2/30, RMSE_all=14.7289, RMSE_target=7.3712, MAE_all=10.5930
Saved battery: method=D_opt, n_initial=180, repeat=2/30, RMSE_all=15.3262, RMSE_target=7.1583, MAE_all=10.3458
Saved battery: method=K_means, n_initial=180, repeat=2/30, RMSE_all=15.7422, RMSE_target=7.0809, MAE_all=10.3571
Saved battery: method=PM, n_initial=180, repeat=2/30, RMSE_all=13.3009, RMSE_target=6.3399, MAE_all=9.9427
Saved battery: method=IMSE, n_initial=180, repeat=1/30, RMSE_all=13.5498, RMSE_target=3.4723, MAE_all=9.4969
Saved battery: method=EI, n_initial=180, repeat=2/30, RMSE_all=13.3536, RMSE_target=7.2932, MAE_all=9.8406
Saved battery: method=G_opt, n_initial=180, repeat=2/30, RMSE_all=13.3156, RMSE_target=6.2190, MAE_all=9.4355
Saved battery: method=LHS, n_initial=180, repeat=3/30, RMSE_all=14.8689, RMSE_target=6.2541, MAE_all=9.8367
Saved battery: method=PM, n_initial=180, repeat=3/30, RMSE_all=18.8920, RMSE_target=10.3561, MAE_all=11.1967
Saved battery: method=D_opt, n_initial=180, repeat=3/30, RMSE_all=15.5772, RMSE_target=7.0241, MAE_all=9.7699
Saved battery: method=UCB, n_initial=180, repeat=2/30, RMSE_all=13.3885, RMSE_target=6.9664, MAE_all=9.9535
Saved battery: method=K_means, n_initial=180, repeat=3/30, RMSE_all=16.7485, RMSE_target=10.8466, MAE_all=10.2739
Saved battery: method=IMSE, n_initial=180, repeat=2/30, RMSE_all=13.4888, RMSE_target=8.3299, MAE_all=10.1330
Saved battery: method=G_opt, n_initial=180, repeat=3/30, RMSE_all=13.2514, RMSE_target=5.4999, MAE_all=9.3027
Saved battery: method=EI, n_initial=180, repeat=3/30, RMSE_all=13.2204, RMSE_target=5.3527, MAE_all=9.6049
Saved battery: method=LHS, n_initial=180, repeat=4/30, RMSE_all=14.0715, RMSE_target=11.9196, MAE_all=10.1407
Saved battery: method=UCB, n_initial=180, repeat=3/30, RMSE_all=13.3017, RMSE_target=5.2048, MAE_all=9.0226
Saved battery: method=D_opt, n_initial=180, repeat=4/30, RMSE_all=14.0068, RMSE_target=14.3546, MAE_all=10.2308
Saved battery: method=K_means, n_initial=180, repeat=4/30, RMSE_all=21.8611, RMSE_target=27.1756, MAE_all=11.4198
Saved battery: method=PM, n_initial=180, repeat=4/30, RMSE_all=13.6195, RMSE_target=8.6419, MAE_all=9.8838
Saved battery: method=IMSE, n_initial=180, repeat=3/30, RMSE_all=13.7418, RMSE_target=5.6631, MAE_all=9.3577
Saved battery: method=EI, n_initial=180, repeat=4/30, RMSE_all=13.3712, RMSE_target=4.6872, MAE_all=9.5576
Saved battery: method=UCB, n_initial=180, repeat=4/30, RMSE_all=13.4260, RMSE_target=7.7137, MAE_all=10.0464
Saved battery: method=LHS, n_initial=180, repeat=5/30, RMSE_all=23.8725, RMSE_target=27.3276, MAE_all=12.3084
Saved battery: method=G_opt, n_initial=180, repeat=4/30, RMSE_all=13.8876, RMSE_target=6.3061, MAE_all=10.0334
Saved battery: method=D_opt, n_initial=180, repeat=5/30, RMSE_all=13.7125, RMSE_target=8.4308, MAE_all=10.3498
Saved battery: method=K_means, n_initial=180, repeat=5/30, RMSE_all=13.6296, RMSE_target=6.1201, MAE_all=10.2432
Saved battery: method=IMSE, n_initial=180, repeat=4/30, RMSE_all=13.7244, RMSE_target=7.4290, MAE_all=10.6956
Saved battery: method=PM, n_initial=180, repeat=5/30, RMSE_all=16.2930, RMSE_target=5.5385, MAE_all=10.2901
Saved battery: method=G_opt, n_initial=180, repeat=5/30, RMSE_all=13.4030, RMSE_target=6.1088, MAE_all=9.8765
Saved battery: method=EI, n_initial=180, repeat=5/30, RMSE_all=12.9433, RMSE_target=4.9888, MAE_all=9.0195
Saved battery: method=UCB, n_initial=180, repeat=5/30, RMSE_all=13.0653, RMSE_target=5.1222, MAE_all=9.4090
Saved battery: method=LHS, n_initial=180, repeat=6/30, RMSE_all=13.6608, RMSE_target=5.8215, MAE_all=10.1372
Saved battery: method=D_opt, n_initial=180, repeat=6/30, RMSE_all=13.3737, RMSE_target=8.2088, MAE_all=10.0159
Saved battery: method=K_means, n_initial=180, repeat=6/30, RMSE_all=13.6052, RMSE_target=6.9529, MAE_all=9.7653
Saved battery: method=PM, n_initial=180, repeat=6/30, RMSE_all=14.6596, RMSE_target=4.3658, MAE_all=10.2335
Saved battery: method=IMSE, n_initial=180, repeat=5/30, RMSE_all=13.9742, RMSE_target=5.5580, MAE_all=10.5362
Saved battery: method=G_opt, n_initial=180, repeat=6/30, RMSE_all=12.9085, RMSE_target=5.8235, MAE_all=8.9358
Saved battery: method=EI, n_initial=180, repeat=6/30, RMSE_all=21.1759, RMSE_target=4.4506, MAE_all=9.9648
Saved battery: method=LHS, n_initial=180, repeat=7/30, RMSE_all=15.4749, RMSE_target=17.8909, MAE_all=10.2915
Saved battery: method=UCB, n_initial=180, repeat=6/30, RMSE_all=15.5676, RMSE_target=5.1783, MAE_all=9.7670
Saved battery: method=D_opt, n_initial=180, repeat=7/30, RMSE_all=14.1182, RMSE_target=14.2918, MAE_all=9.9216
Saved battery: method=K_means, n_initial=180, repeat=7/30, RMSE_all=13.4677, RMSE_target=6.1456, MAE_all=10.0002
Saved battery: method=IMSE, n_initial=180, repeat=6/30, RMSE_all=13.3441, RMSE_target=5.9208, MAE_all=9.5873
Saved battery: method=PM, n_initial=180, repeat=7/30, RMSE_all=19.7591, RMSE_target=11.4956, MAE_all=11.2110
Saved battery: method=G_opt, n_initial=180, repeat=7/30, RMSE_all=13.2381, RMSE_target=5.3565, MAE_all=9.7236
Saved battery: method=EI, n_initial=180, repeat=7/30, RMSE_all=13.4793, RMSE_target=6.4779, MAE_all=9.9207
Saved battery: method=LHS, n_initial=180, repeat=8/30, RMSE_all=25.4848, RMSE_target=9.1323, MAE_all=11.2031
Saved battery: method=UCB, n_initial=180, repeat=7/30, RMSE_all=13.2359, RMSE_target=5.4040, MAE_all=9.6305
Saved battery: method=D_opt, n_initial=180, repeat=8/30, RMSE_all=13.5544, RMSE_target=7.2137, MAE_all=9.7023
Saved battery: method=K_means, n_initial=180, repeat=8/30, RMSE_all=15.9758, RMSE_target=6.6551, MAE_all=10.3382
Saved battery: method=IMSE, n_initial=180, repeat=7/30, RMSE_all=13.4113, RMSE_target=8.2063, MAE_all=10.1568
